rank,freq,zipf
1,1499,1499
2,920,749.5
3,712,499.667
4,583,374.75
5,409,299.8
6,382,249.833
7,290,214.143
8,267,187.375
9,266,166.556
10,253,149.9
11,231,136.273
12,155,124.917
13,147,115.308
14,143,107.071
15,141,99.9333
16,138,93.6875
17,136,88.1765
18,132,83.2778
19,126,78.8947
20,109,74.95
21,108,71.381
22,102,68.1364
23,101,65.1739
24,98,62.4583
25,94,59.96
26,92,57.6538
27,90,55.5185
28,84,53.5357
29,84,51.6897
30,80,49.9667
31,77,48.3548
32,77,46.8438
33,77,45.4242
34,73,44.0882
35,72,42.8286
36,72,41.6389
37,71,40.5135
38,70,39.4474
39,70,38.4359
40,70,37.475
41,70,36.561
42,70,35.6905
43,70,34.8605
44,67,34.0682
45,65,33.3111
46,65,32.587
47,64,31.8936
48,64,31.2292
49,63,30.5918
50,63,29.98
51,63,29.3922
52,63,28.8269
53,63,28.283
54,62,27.7593
55,60,27.2545
56,59,26.7679
57,58,26.2982
58,58,25.8448
59,58,25.4068
60,57,24.9833
61,56,24.5738
62,56,24.1774
63,56,23.7937
64,56,23.4219
65,56,23.0615
66,56,22.7121
67,56,22.3731
68,56,22.0441
69,56,21.7246
70,55,21.4143
71,55,21.1127
72,55,20.8194
73,54,20.5342
74,51,20.2568
75,50,19.9867
76,50,19.7237
77,50,19.4675
78,49,19.2179
79,49,18.9747
80,49,18.7375
81,49,18.5062
82,49,18.2805
83,47,18.0602
84,46,17.8452
85,45,17.6353
86,45,17.4302
87,44,17.2299
88,44,17.0341
89,44,16.8427
90,44,16.6556
91,44,16.4725
92,43,16.2935
93,43,16.1183
94,43,15.9468
95,43,15.7789
96,42,15.6146
97,42,15.4536
98,42,15.2959
99,42,15.1414
100,42,14.99
101,42,14.8416
102,42,14.6961
103,42,14.5534
104,42,14.4135
105,42,14.2762
106,42,14.1415
107,42,14.0093
108,41,13.8796
109,41,13.7523
110,40,13.6273
111,40,13.5045
112,39,13.3839
113,39,13.2655
114,39,13.1491
115,38,13.0348
116,38,12.9224
117,38,12.812
118,38,12.7034
119,38,12.5966
120,38,12.4917
121,38,12.3884
122,37,12.2869
123,37,12.187
124,36,12.0887
125,36,11.992
126,36,11.8968
127,36,11.8031
128,36,11.7109
129,36,11.6202
130,36,11.5308
131,35,11.4427
132,35,11.3561
133,35,11.2707
134,35,11.1866
135,35,11.1037
136,35,11.0221
137,35,10.9416
138,35,10.8623
139,35,10.7842
140,35,10.7071
141,35,10.6312
142,35,10.5563
143,35,10.4825
144,35,10.4097
145,35,10.3379
146,35,10.2671
147,35,10.1973
148,35,10.1284
149,35,10.0604
150,35,9.99333
151,35,9.92715
152,35,9.86184
153,35,9.79739
154,35,9.73377
155,35,9.67097
156,35,9.60897
157,35,9.54777
158,35,9.48734
159,34,9.42767
160,34,9.36875
161,33,9.31056
162,32,9.25309
163,32,9.19632
164,31,9.14024
165,31,9.08485
166,31,9.03012
167,30,8.97605
168,30,8.92262
169,30,8.86982
170,30,8.81765
171,30,8.76608
172,30,8.71512
173,30,8.66474
174,30,8.61494
175,29,8.56571
176,29,8.51705
177,29,8.46893
178,29,8.42135
179,29,8.3743
180,29,8.32778
181,29,8.28177
182,29,8.23626
183,29,8.19126
184,29,8.14674
185,29,8.1027
186,28,8.05914
187,28,8.01604
188,28,7.9734
189,28,7.93122
190,28,7.88947
191,28,7.84817
192,28,7.80729
193,28,7.76684
194,28,7.7268
195,28,7.68718
196,28,7.64796
197,28,7.60914
198,28,7.57071
199,28,7.53266
200,28,7.495
201,28,7.45771
202,28,7.42079
203,28,7.38424
204,28,7.34804
205,28,7.3122
206,28,7.2767
207,28,7.24155
208,28,7.20673
209,28,7.17225
210,28,7.1381
211,28,7.10427
212,28,7.07075
213,28,7.03756
214,28,7.00467
215,28,6.97209
216,28,6.93981
217,28,6.90783
218,28,6.87615
219,28,6.84475
220,28,6.81364
221,28,6.78281
222,28,6.75225
223,28,6.72197
224,28,6.69196
225,28,6.66222
226,28,6.63274
227,28,6.60352
228,28,6.57456
229,28,6.54585
230,28,6.51739
231,27,6.48918
232,27,6.46121
233,27,6.43348
234,27,6.40598
235,27,6.37872
236,26,6.35169
237,26,6.32489
238,26,6.29832
239,26,6.27197
240,26,6.24583
241,25,6.21992
242,25,6.19421
243,25,6.16872
244,24,6.14344
245,24,6.11837
246,24,6.0935
247,24,6.06883
248,24,6.04435
249,24,6.02008
250,24,5.996
251,24,5.97211
252,24,5.94841
253,24,5.9249
254,23,5.90157
255,23,5.87843
256,23,5.85547
257,23,5.83268
258,23,5.81008
259,23,5.78764
260,23,5.76538
261,22,5.7433
262,22,5.72137
263,22,5.69962
264,22,5.67803
265,22,5.6566
266,22,5.63534
267,22,5.61423
268,22,5.59328
269,22,5.57249
270,22,5.55185
271,22,5.53137
272,22,5.51103
273,21,5.49084
274,21,5.4708
275,21,5.45091
276,21,5.43116
277,21,5.41155
278,21,5.39209
279,21,5.37276
280,21,5.35357
281,21,5.33452
282,21,5.3156
283,21,5.29682
284,21,5.27817
285,21,5.25965
286,21,5.24126
287,21,5.223
288,21,5.20486
289,21,5.18685
290,21,5.16897
291,21,5.1512
292,21,5.13356
293,21,5.11604
294,21,5.09864
295,21,5.08136
296,21,5.06419
297,21,5.04714
298,21,5.0302
299,21,5.01338
300,21,4.99667
301,21,4.98007
302,21,4.96358
303,21,4.94719
304,21,4.93092
305,21,4.91475
306,21,4.89869
307,21,4.88274
308,21,4.86688
309,21,4.85113
310,21,4.83548
311,21,4.81994
312,21,4.80449
313,21,4.78914
314,21,4.77389
315,21,4.75873
316,21,4.74367
317,21,4.72871
318,21,4.71384
319,21,4.69906
320,21,4.68438
321,21,4.66978
322,21,4.65528
323,21,4.64087
324,21,4.62654
325,21,4.61231
326,21,4.59816
327,21,4.5841
328,21,4.57012
329,21,4.55623
330,21,4.54242
331,21,4.5287
332,21,4.51506
333,21,4.5015
334,21,4.48802
335,21,4.47463
336,21,4.46131
337,21,4.44807
338,21,4.43491
339,21,4.42183
340,20,4.40882
341,20,4.39589
342,20,4.38304
343,20,4.37026
344,20,4.35756
345,20,4.34493
346,20,4.33237
347,19,4.31988
348,19,4.30747
349,19,4.29513
350,19,4.28286
351,19,4.27066
352,19,4.25852
353,19,4.24646
354,18,4.23446
355,18,4.22254
356,18,4.21067
357,18,4.19888
358,18,4.18715
359,18,4.17549
360,18,4.16389
361,18,4.15235
362,18,4.14088
363,18,4.12948
364,18,4.11813
365,18,4.10685
366,17,4.09563
367,17,4.08447
368,17,4.07337
369,17,4.06233
370,17,4.05135
371,17,4.04043
372,17,4.02957
373,17,4.01877
374,17,4.00802
375,17,3.99733
376,17,3.9867
377,17,3.97613
378,17,3.96561
379,17,3.95515
380,17,3.94474
381,16,3.93438
382,16,3.92408
383,16,3.91384
384,16,3.90365
385,16,3.89351
386,16,3.88342
387,16,3.87339
388,16,3.8634
389,16,3.85347
390,16,3.84359
391,16,3.83376
392,16,3.82398
393,16,3.81425
394,16,3.80457
395,16,3.79494
396,16,3.78535
397,16,3.77582
398,16,3.76633
399,16,3.75689
400,16,3.7475
401,16,3.73815
402,15,3.72886
403,15,3.7196
404,15,3.7104
405,15,3.70123
406,15,3.69212
407,15,3.68305
408,15,3.67402
409,15,3.66504
410,15,3.6561
411,15,3.6472
412,15,3.63835
413,15,3.62954
414,15,3.62077
415,15,3.61205
416,15,3.60337
417,15,3.59472
418,15,3.58612
419,15,3.57757
420,15,3.56905
421,15,3.56057
422,15,3.55213
423,15,3.54374
424,15,3.53538
425,15,3.52706
426,15,3.51878
427,15,3.51054
428,15,3.50234
429,15,3.49417
430,15,3.48605
431,15,3.47796
432,15,3.46991
433,15,3.46189
434,14,3.45392
435,14,3.44598
436,14,3.43807
437,14,3.43021
438,14,3.42237
439,14,3.41458
440,14,3.40682
441,14,3.39909
442,14,3.3914
443,14,3.38375
444,14,3.37613
445,14,3.36854
446,14,3.36099
447,14,3.35347
448,14,3.34598
449,14,3.33853
450,14,3.33111
451,14,3.32373
452,14,3.31637
453,14,3.30905
454,14,3.30176
455,14,3.29451
456,14,3.28728
457,14,3.28009
458,14,3.27293
459,14,3.2658
460,14,3.2587
461,14,3.25163
462,14,3.24459
463,14,3.23758
464,14,3.2306
465,14,3.22366
466,14,3.21674
467,14,3.20985
468,14,3.20299
469,14,3.19616
470,14,3.18936
471,14,3.18259
472,14,3.17585
473,14,3.16913
474,14,3.16245
475,14,3.15579
476,14,3.14916
477,14,3.14256
478,14,3.13598
479,14,3.12944
480,14,3.12292
481,14,3.11642
482,14,3.10996
483,14,3.10352
484,14,3.09711
485,14,3.09072
486,14,3.08436
487,14,3.07803
488,14,3.07172
489,14,3.06544
490,14,3.05918
491,14,3.05295
492,14,3.04675
493,14,3.04057
494,14,3.03441
495,14,3.02828
496,14,3.02218
497,14,3.0161
498,14,3.01004
499,14,3.00401
500,14,2.998
501,14,2.99202
502,14,2.98606
503,14,2.98012
504,14,2.97421
505,14,2.96832
506,14,2.96245
507,14,2.95661
508,14,2.95079
509,14,2.94499
510,14,2.93922
511,14,2.93346
512,14,2.92773
513,14,2.92203
514,14,2.91634
515,14,2.91068
516,14,2.90504
517,14,2.89942
518,14,2.89382
519,14,2.88825
520,14,2.88269
521,14,2.87716
522,14,2.87165
523,14,2.86616
524,14,2.86069
525,14,2.85524
526,14,2.84981
527,14,2.8444
528,14,2.83902
529,14,2.83365
530,14,2.8283
531,14,2.82298
532,14,2.81767
533,14,2.81238
534,14,2.80712
535,14,2.80187
536,14,2.79664
537,14,2.79143
538,14,2.78625
539,14,2.78108
540,14,2.77593
541,14,2.77079
542,14,2.76568
543,14,2.76059
544,14,2.75551
545,14,2.75046
546,14,2.74542
547,14,2.7404
548,14,2.7354
549,14,2.73042
550,14,2.72545
551,14,2.72051
552,14,2.71558
553,14,2.71067
554,14,2.70578
555,14,2.7009
556,14,2.69604
557,14,2.6912
558,14,2.68638
559,14,2.68157
560,14,2.67679
561,14,2.67201
562,14,2.66726
563,14,2.66252
564,14,2.6578
565,14,2.6531
566,14,2.64841
567,14,2.64374
568,14,2.63908
569,14,2.63445
570,14,2.62982
571,14,2.62522
572,14,2.62063
573,14,2.61606
574,14,2.6115
575,14,2.60696
576,14,2.60243
577,14,2.59792
