rank,freq,zipf
1,214103,214103
2,111269,107052
3,102276,71367.7
4,41223,53525.8
5,41169,42820.6
6,38270,35683.8
7,33000,30586.1
8,28366,26762.9
9,24742,23789.2
10,23775,21410.3
11,22832,19463.9
12,21495,17841.9
13,21490,16469.5
14,20184,15293.1
15,15032,14273.5
16,14287,13381.4
17,14262,12594.3
18,14000,11894.6
19,13765,11268.6
20,13631,10705.1
21,12829,10195.4
22,12543,9731.95
23,12247,9308.83
24,12221,8920.96
25,11753,8564.12
26,11648,8234.73
27,11397,7929.74
28,11195,7646.54
29,11023,7382.86
30,10198,7136.77
31,10193,6906.55
32,10143,6690.72
33,10128,6487.97
34,10084,6297.15
35,10054,6117.23
36,10020,5947.31
37,9770,5786.57
38,9527,5634.29
39,9486,5489.82
40,9462,5352.57
41,9201,5222.02
42,9154,5097.69
43,9125,4979.14
44,9114,4865.98
45,9068,4757.84
46,9014,4654.41
47,8497,4555.38
48,8494,4460.48
49,8306,4369.45
50,8302,4282.06
51,8272,4198.1
52,8168,4117.37
53,8108,4039.68
54,8034,3964.87
55,8025,3892.78
56,8022,3823.27
57,8002,3756.19
58,8002,3691.43
59,8000,3628.86
60,7721,3568.38
61,7386,3509.89
62,7235,3453.27
63,7197,3398.46
64,7153,3345.36
65,7136,3293.89
66,7094,3243.98
67,7048,3195.57
68,7005,3148.57
69,7000,3102.94
70,6991,3058.61
71,6424,3015.54
72,6362,2973.65
73,6272,2932.92
74,6250,2893.28
75,6182,2854.71
76,6126,2817.14
77,6119,2780.56
78,6066,2744.91
79,6065,2710.16
80,6061,2676.29
81,6052,2643.25
82,6016,2611.01
83,6011,2579.55
84,6000,2548.85
85,6000,2518.86
86,6000,2489.57
87,5998,2460.95
88,5995,2432.99
89,5904,2405.65
90,5819,2378.92
91,5750,2352.78
92,5665,2327.21
93,5645,2302.18
94,5608,2277.69
95,5535,2253.72
96,5506,2230.24
97,5414,2207.25
98,5401,2184.72
99,5251,2162.66
100,5217,2141.03
101,5190,2119.83
102,5190,2099.05
103,5163,2078.67
104,5140,2058.68
105,5125,2039.08
106,5085,2019.84
107,5077,2000.96
108,5071,1982.44
109,5070,1964.25
110,5069,1946.39
111,5055,1928.86
112,5049,1911.63
113,5048,1894.72
114,5045,1878.1
115,5041,1861.77
116,5039,1845.72
117,5030,1829.94
118,5027,1814.43
119,5015,1799.18
120,5009,1784.19
121,5004,1769.45
122,5003,1754.94
123,5002,1740.67
124,5002,1726.64
125,5002,1712.82
126,5001,1699.23
127,5001,1685.85
128,5000,1672.68
129,5000,1659.71
130,4979,1646.95
131,4958,1634.37
132,4934,1621.99
133,4907,1609.8
134,4854,1597.78
135,4682,1585.95
136,4667,1574.29
137,4628,1562.8
138,4508,1551.47
139,4483,1540.31
140,4473,1529.31
141,4350,1518.46
142,4330,1507.77
143,4320,1497.22
144,4261,1486.83
145,4249,1476.57
146,4194,1466.46
147,4165,1456.48
148,4149,1446.64
149,4141,1436.93
150,4118,1427.35
151,4117,1417.9
152,4105,1408.57
153,4104,1399.37
154,4094,1390.28
155,4092,1381.31
156,4073,1372.46
157,4063,1363.71
158,4063,1355.08
159,4061,1346.56
160,4059,1338.14
161,4052,1329.83
162,4050,1321.62
163,4040,1313.52
164,4035,1305.51
165,4029,1297.59
166,4027,1289.78
167,4021,1282.05
168,4020,1274.42
169,4018,1266.88
170,4017,1259.43
171,4015,1252.06
172,4009,1244.78
173,4008,1237.59
174,4005,1230.48
175,4002,1223.45
176,4001,1216.49
177,4001,1209.62
178,4000,1202.83
179,4000,1196.11
180,4000,1189.46
181,4000,1182.89
182,4000,1176.39
183,4000,1169.96
184,4000,1163.6
185,3988,1157.31
186,3934,1151.09
187,3787,1144.94
188,3727,1138.85
189,3675,1132.82
190,3656,1126.86
191,3630,1120.96
192,3606,1115.12
193,3532,1109.34
194,3489,1103.62
195,3444,1097.96
196,3411,1092.36
197,3411,1086.82
198,3357,1081.33
199,3348,1075.89
200,3348,1070.52
201,3306,1065.19
202,3241,1059.92
203,3234,1054.69
204,3220,1049.52
205,3204,1044.4
206,3198,1039.33
207,3194,1034.31
208,3190,1029.34
209,3188,1024.42
210,3177,1019.54
211,3168,1014.71
212,3151,1009.92
213,3147,1005.18
214,3118,1000.48
215,3093,995.828
216,3078,991.218
217,3077,986.65
218,3062,982.124
219,3061,977.639
220,3059,973.195
221,3058,968.792
222,3057,964.428
223,3055,960.103
224,3044,955.817
225,3040,951.569
226,3039,947.358
